iter	Passed	Remaining
892	1775	212
893	1777	210
894	1779	208
895	1780	206
896	1782	204
897	1783	202
898	1785	200
899	1787	198
900	1789	196
901	1791	194
902	1793	192
903	1794	190
904	1796	188
905	1798	186
906	1799	184
907	1801	182
908	1803	180
909	1805	178
910	1807	176
911	1808	174
912	1810	172
913	1812	170
914	1814	168
915	1815	166
916	1817	164
917	1819	162
918	1821	160
919	1822	158
920	1824	156
921	1826	154
922	1827	152
923	1829	150
924	1830	148
925	1832	146
926	1834	144
927	1836	142
928	1838	140
929	1839	138
930	1841	136
931	1842	134
932	1844	132
933	1846	130
934	1847	128
935	1849	126
936	1851	124
937	1853	122
938	1854	120
939	1856	118
940	1857	116
941	1859	114
942	1860	112
943	1862	110
944	1864	108
945	1866	106
946	1868	104
947	1870	102
948	1872	100
949	1873	98
950	1875	96
951	1877	94
952	1879	92
953	1881	90
954	1883	88
955	1885	86
956	1887	84
957	1888	82
958	1890	80
959	1891	78
960	1893	76
961	1895	74
962	1897	72
963	1899	70
964	1901	68
965	1902	66
966	1904	64
967	1906	63
968	1908	61
969	1909	59
970	1911	57
971	1913	55
972	1915	53
973	1916	51
974	1918	49
975	1919	47
976	1921	45
977	1923	43
978	1925	41
979	1927	39
980	1929	37
981	1931	35
982	1933	33
983	1934	31
984	1936	29
985	1938	27
986	1940	25
987	1942	23
988	1944	21
989	1946	19
990	1948	17
991	1949	15
992	1950	13
993	1952	11
994	1954	9
995	1956	7
996	1957	5
997	1959	3
998	1960	1
999	1961	0
